SPECIES,Family
Paratelmatobius mantiqueira,Leptodactylidae
Paratelmatobius poecilogaster,Leptodactylidae
Paratelmatobius segallai,Leptodactylidae
Paratelmatobius yepiranga,Leptodactylidae
Physalaemus aguirrei,Leptodactylidae
Physalaemus albifrons,Leptodactylidae
Physalaemus albonotatus,Leptodactylidae
Physalaemus angrensis,Leptodactylidae
Physalaemus araxa,Leptodactylidae
Physalaemus atim,Leptodactylidae
Physalaemus atlanticus,Leptodactylidae
Physalaemus barrioi,Leptodactylidae
Physalaemus biligonigerus,Leptodactylidae
Physalaemus bokermanni,Leptodactylidae
Physalaemus caete,Leptodactylidae
Physalaemus camacan,Leptodactylidae
Physalaemus carrizorum,Leptodactylidae
Physalaemus centralis,Leptodactylidae
Physalaemus cicada,Leptodactylidae
Physalaemus claptoni,Leptodactylidae
Physalaemus crombiei,Leptodactylidae
Physalaemus cuvieri,Leptodactylidae
Physalaemus deimaticus,Leptodactylidae
Physalaemus ephippifer,Leptodactylidae
Physalaemus erikae,Leptodactylidae
Physalaemus erythros,Leptodactylidae
Physalaemus evangelistai,Leptodactylidae
Physalaemus feioi,Leptodactylidae
Physalaemus gracilis,Leptodactylidae
Physalaemus henselii,Leptodactylidae
Physalaemus insperatus,Leptodactylidae
Physalaemus irroratus,Leptodactylidae
Physalaemus jordanensis,Leptodactylidae
Physalaemus kroyeri,Leptodactylidae
Physalaemus lateristriga,Leptodactylidae
Physalaemus lisei,Leptodactylidae
Physalaemus maculiventris,Leptodactylidae
Physalaemus marmoratus,Leptodactylidae
Physalaemus maximus,Leptodactylidae
Physalaemus moreirae,Leptodactylidae
Physalaemus nanus,Leptodactylidae
Physalaemus nattereri,Leptodactylidae
Physalaemus obtectus,Leptodactylidae
Physalaemus olfersii,Leptodactylidae
Physalaemus orophilus,Leptodactylidae
Physalaemus riograndensis,Leptodactylidae
Physalaemus rupestris,Leptodactylidae
Physalaemus signifer,Leptodactylidae
Physalaemus soaresi,Leptodactylidae
Physalaemus spiniger,Leptodactylidae
Pleurodema alium,Leptodactylidae
Pleurodema bibroni,Leptodactylidae
Pleurodema brachyops,Leptodactylidae
Pleurodema diplolister,Leptodactylidae
Pseudopalucidola ameghini,Leptodactylidae
Pseudopaludicola atragula,Leptodactylidae
Pseudopaludicola boliviana,Leptodactylidae
Pseudopaludicola canga,Leptodactylidae
Pseudopaludicola ceratophryes,Leptodactylidae
Pseudopaludicola coracoralinae,Leptodactylidae
Pseudopaludicola facureae,Leptodactylidae
Pseudopaludicola falcipes,Leptodactylidae
Pseudopaludicola florencei,Leptodactylidae
Pseudopaludicola giarettai,Leptodactylidae
Pseudopaludicola hyleaustralis,Leptodactylidae
Pseudopaludicola ibisoroca,Leptodactylidae
Pseudopaludicola jaredi,Leptodactylidae
Pseudopaludicola javae,Leptodactylidae
Pseudopaludicola jazmynmacdonaldae,Leptodactylidae
Pseudopaludicola matuta,Leptodactylidae
Pseudopaludicola mineira,Leptodactylidae
Pseudopaludicola motorzinho,Leptodactylidae
Pseudopaludicola murundu,Leptodactylidae
Pseudopaludicola mystacalis,Leptodactylidae
Pseudopaludicola parnaiba,Leptodactylidae
Pseudopaludicola pocoto,Leptodactylidae
Pseudopaludicola restinga,Leptodactylidae
Pseudopaludicola saltica,Leptodactylidae
Pseudopaludicola ternetzi,Leptodactylidae
Rupirana cardosoi,Leptodactylidae
Scythrophrys sawayae,Leptodactylidae
Arcovomer moqueca,Microhylidae
Arcovomer passarellii,Microhylidae
Arcovomer ubatuba,Microhylidae
Chiasmocleis alagoana,Microhylidae
Chiasmocleis albopunctata,Microhylidae
Chiasmocleis altomontana,Microhylidae
Chiasmocleis antenori,Microhylidae
Chiasmocleis atlantica,Microhylidae
Chiasmocleis avilapiresae,Microhylidae
Chiasmocleis bassleri,Microhylidae
Chiasmocleis bicegoi,Microhylidae
Chiasmocleis capixaba,Microhylidae
Chiasmocleis centralis,Microhylidae
Chiasmocleis cordeiroi,Microhylidae
Chiasmocleis crucis,Microhylidae
Chiasmocleis gnoma,Microhylidae
Chiasmocleis haddadi,Microhylidae
Chiasmocleis hudsoni,Microhylidae
Chiasmocleis jacki,Microhylidae
Chiasmocleis lacrimae,Microhylidae
Chiasmocleis leucosticta,Microhylidae
Chiasmocleis mantiqueira,Microhylidae
Chiasmocleis mehelyi,Microhylidae
Chiasmocleis miguelli,Microhylidae
Chiasmocleis papachibe,Microhylidae
Chiasmocleis quilombola,Microhylidae
Chiasmocleis royi,Microhylidae
Chiasmocleis sapiranga,Microhylidae
Chiasmocleis schubarti,Microhylidae
Chiasmocleis shudikarensis,Microhylidae
Chiasmocleis tridactyla,Microhylidae
Chiasmocleis ventrimaculata,Microhylidae
Chiasmocleis veracruz,Microhylidae
Ctenophryne geayi,Microhylidae
Dasypops schirchi,Microhylidae
Dermatonotus muelleri,Microhylidae
Elachistocleis bicolor,Microhylidae
Elachistocleis cesarii,Microhylidae
Elachistocleis corumbaensis,Microhylidae
Elachistocleis erythrogaster,Microhylidae
Elachistocleis helianneae,Microhylidae
Elachistocleis magna,Microhylidae
Elachistocleis matogrosso,Microhylidae
Elachistocleis muiraquitan,Microhylidae
Elachistocleis piauiensis,Microhylidae
Elachistocleis surumu,Microhylidae
Hamptophryne alios,Microhylidae
Hamptophryne boliviana,Microhylidae
Otophryne pyburni,Microhylidae
Stereocyclops histrio,Microhylidae
Stereocyclops incrassatus,Microhylidae
Stereocyclops palmipes,Microhylidae
Stereocyclops parkeri,Microhylidae
Synapturanus ajuricaba,Microhylidae
Synapturanus mirandaribeiroi,Microhylidae
Synapturanus salseri,Microhylidae
Macrogenioglottus alipioi,Odontophrynidae
Odontophrynus americanus,Odontophrynidae
Odontophrynus carvalhoi,Odontophrynidae
Odontophrynus cultripes,Odontophrynidae
Odontophrynus juquinha,Odontophrynidae
Odontophrynus lavillai,Odontophrynidae
Odontophrynus maisuma,Odontophrynidae
Odontophrynus monachus,Odontophrynidae
Odontophrynus reigi,Odontophrynidae
Odontophrynus toledoi,Odontophrynidae
Proceratophrys appendiculata,Odontophrynidae
Proceratophrys ararypae,Odontophrynidae
Proceratophrys avelinoi,Odontophrynidae
Proceratophrys bagnoi,Odontophrynidae
Proceratophrys belzebul,Odontophrynidae
Proceratophrys bigibbosa,Odontophrynidae
Proceratophrys boiei,Odontophrynidae
Proceratophrys branti,Odontophrynidae
Proceratophrys brauni,Odontophrynidae
Proceratophrys carranca,Odontophrynidae
Proceratophrys concavitympanum,Odontophrynidae
Proceratophrys cristiceps,Odontophrynidae
Proceratophrys cururu,Odontophrynidae
Proceratophrys dibernardoi,Odontophrynidae
Proceratophrys gladius,Odontophrynidae
Proceratophrys goyana,Odontophrynidae
Proceratophrys huntingtoni,Odontophrynidae
Proceratophrys itamari,Odontophrynidae
Proceratophrys izecksohni,Odontophrynidae
Proceratophrys kaingang,Odontophrynidae
Proceratophrys korekore,Odontophrynidae
Proceratophrys laticeps,Odontophrynidae
Proceratophrys mantiqueira,Odontophrynidae
Proceratophrys melanopogon,Odontophrynidae
Proceratophrys minuta,Odontophrynidae
Proceratophrys moheringi,Odontophrynidae
Proceratophrys moratoi,Odontophrynidae
Proceratophrys palustris,Odontophrynidae
Proceratophrys paviotii,Odontophrynidae
Proceratophrys phyllostomus,Odontophrynidae
Proceratophrys pombali,Odontophrynidae
Proceratophrys redacta,Odontophrynidae
Proceratophrys renalis,Odontophrynidae
Proceratophrys rondonae,Odontophrynidae
Proceratophrys salvatori,Odontophrynidae
Proceratophrys sanctaritae,Odontophrynidae
Proceratophrys schirchi,Odontophrynidae
Proceratophrys strussmannae,Odontophrynidae
Proceratophrys subguttata,Odontophrynidae
Proceratophrys tupinamba,Odontophrynidae
Proceratophrys velhochico,Odontophrynidae
Proceratophrys vielliardi,Odontophrynidae
Callimedusa atelopoides,Phyllomedusidae
Callimedusa tomopterna,Phyllomedusidae
Cruziohyla craspedopus,Phyllomedusidae
Hylomantis aspera,Phyllomedusidae
Hylomantis granulosa,Phyllomedusidae
Phasmahyla cochranae,Phyllomedusidae
Phasmahyla cruzi,Phyllomedusidae
Phasmahyla exilis,Phyllomedusidae
Phasmahyla guttata,Phyllomedusidae
Phasmahyla jandaia,Phyllomedusidae
Phasmahyla lisbella,Phyllomedusidae
Phasmahyla spectabilis,Phyllomedusidae
Phasmahyla timbo,Phyllomedusidae
Phrynomedusa appendiculata,Phyllomedusidae
Phrynomedusa bokermanni,Phyllomedusidae
Phrynomedusa dryade,Phyllomedusidae
Phrynomedusa fimbriata,Phyllomedusidae
Phrynomedusa marginata,Phyllomedusidae
Phrynomedusa vanzolinii,Phyllomedusidae
Phyllomedusa bahiana,Phyllomedusidae
Phyllomedusa bicolor,Phyllomedusidae
Phyllomedusa boliviana,Phyllomedusidae
Phyllomedusa burmeisteri,Phyllomedusidae
Phyllomedusa camba,Phyllomedusidae
Phyllomedusa distincta,Phyllomedusidae
Phyllomedusa iheringii,Phyllomedusidae
Phyllomedusa sauvagii,Phyllomedusidae
Phyllomedusa tarsius,Phyllomedusidae
Phyllomedusa tetraploidea,Phyllomedusidae
Phyllomedusa vaillantii,Phyllomedusidae
Pithecopus araguaius,Phyllomedusidae
Pithecopus ayeaye,Phyllomedusidae
Pithecopus azureus,Phyllomedusidae
Pithecopus centralis,Phyllomedusidae
Pithecopus gonzagai,Phyllomedusidae
Pithecopus hypochondrialis,Phyllomedusidae
Pithecopus megacephalus,Phyllomedusidae
Pithecopus nordestinus,Phyllomedusidae
Pithecopus oreades,Phyllomedusidae
Pithecopus palliatus,Phyllomedusidae
Pithecopus rohdei,Phyllomedusidae
Pithecopus rusticus,Phyllomedusidae
Pipa arrabali,Pipidae
Pipa aspera,Pipidae
Pipa carvalhoi,Pipidae
Pipa snethlageae,Pipidae
Lithobates palmipes,Ranidae
